Time,SPY,VTI,QQQ,VEA,AGG,BND,LQD,VCIT
2022-01-10,458.07843,231.92424,377.329224,49.100105,109.858536,81.452065,125.620148,88.636536
2022-01-11,462.250763,234.236588,382.997437,49.682655,110.063812,81.61792,125.998177,88.753113
2022-01-12,463.500458,234.600677,384.516266,50.216679,110.063812,81.588654,125.91095,88.811386
2022-01-13,457.114075,231.166565,374.897156,49.85743,110.259331,81.725235,126.308357,88.976517
2022-01-14,457.301086,231.255142,377.22995,49.740917,109.643509,81.276474,125.19368,88.481125
2022-01-18,449.202423,226.758347,367.839142,49.012718,108.978813,80.769142,124.001434,87.81089
2022-01-19,444.538116,224.377106,363.79892,49.00301,109.213409,80.964279,124.195282,87.917725
2022-01-20,439.61795,221.75972,359.073761,48.69231,109.272064,81.052094,124.127441,87.927444
2022-01-21,430.987946,217.37117,349.117157,48.022366,109.702171,81.354515,124.941635,88.296562
2022-01-24,432.818237,218.768417,350.715332,47.48835,109.575073,81.227692,124.553925,88.238281
2022-01-25,427.533966,215.708252,342.585236,47.235912,109.467545,81.120377,124.204987,88.092575
2022-01-26,426.461395,214.871857,342.049225,47.012592,108.851753,80.671585,123.361702,87.587479
2022-01-27,424.35553,213.277817,338.604614,46.701897,109.213409,80.935005,123.642792,87.704048
2022-01-28,434.894531,218.532257,349.226288,46.915501,109.291595,81.03257,123.778496,87.80117
2022-01-31,442.727509,223.176651,360.394043,47.66312,109.281845,80.974037,123.836639,87.869179
2022-02-01,445.718964,224.878952,362.845947,48.138878,109.243652,80.941788,124.042534,87.933411
2022-02-02,450.048706,226.364761,365.79422,48.527252,109.36113,81.059052,124.052238,87.991806
2022-02-03,439.470367,220.982376,350.963501,47.750507,108.920616,80.717018,123.051979,87.495453
2022-02-04,441.536804,222.448517,355.3909,47.876728,108.235397,80.218651,121.828354,86.930939
2022-02-07,440.119812,221.887634,352.531952,47.964111,108.333298,80.287071,122.051712,87.00882
2022-02-08,443.741058,223.924515,356.492767,48.197132,108.000473,80.023224,121.595276,86.765503
2022-02-09,450.235687,227.565231,364.047119,48.964172,108.068985,80.081856,122.003166,86.960144
2022-02-10,442.146912,223.708008,355.807831,48.391319,107.070526,79.348946,120.342514,86.055023
2022-02-11,433.428314,219.368652,344.520996,47.721378,107.775322,79.866859,121.23597,86.629242
2022-02-14,432.011322,218.561783,344.947845,47.439804,107.148842,79.417358,120.158005,86.123146
2022-02-15,438.978333,222.448517,353.524628,48.226261,106.972649,79.251221,119.555916,85.928505
2022-02-16,439.470367,222.655136,353.435303,48.430161,107.099907,79.358711,119.730713,85.9869
2022-02-17,430.082642,217.597488,342.922821,47.692249,107.325027,79.534607,119.818108,86.162079
2022-02-18,427.297852,215.855835,339.011627,47.439804,107.550179,79.671417,120.109459,86.171806
2022-02-22,422.712219,213.376221,335.606689,46.944626,107.432716,79.622574,119.954056,86.045303
2022-02-23,415.213867,209.450119,327.01004,46.507713,106.953072,79.221909,118.866394,85.59758
2022-02-24,421.462494,213.120377,337.999054,45.905731,107.148842,79.397804,119.429657,85.724121
2022-02-25,430.761597,217.863144,343.240448,47.061142,107.256523,79.466217,119.915237,85.899307
2022-02-28,429.659485,217.626999,344.262878,46.400909,108.029839,80.052544,121.197128,86.590332
2022-03-01,423.115692,214.232285,338.99176,45.488228,108.638634,80.472404,121.611671,86.959831
2022-03-02,430.899384,218.296112,344.67984,46.04166,107.334785,79.483879,119.762726,86.043335
2022-03-03,428.754181,216.633209,339.756134,45.313457,107.69751,79.836235,120.20063,86.248093
2022-03-04,425.270691,214.46843,334.832428,44.148342,108.128853,80.120071,120.317413,86.443092
2022-03-07,412.734039,207.856094,322.483398,42.84729,107.501457,79.728561,118.857727,85.731339
2022-03-08,409.604858,206.68515,320.984467,43.109444,107.119133,79.356644,118.147346,85.146347
2022-03-09,420.5867,212.421753,332.539307,44.760029,106.893677,79.141319,118.351707,85.087837
2022-03-10,418.6875,211.467285,328.846497,44.255146,106.295662,78.720451,116.999046,84.541847
2022-03-11,413.363892,208.59407,322.026794,43.837646,106.276054,78.661736,116.950394,84.395607
2022-03-14,410.342896,206.537521,315.842377,44.119213,105.246712,77.937469,115.257164,83.449852
2022-03-15,419.366486,210.847382,325.749329,44.507587,105.481995,78.064705,116.162155,83.683853
2022-03-16,428.665588,216.121521,337.830322,46.012531,105.560425,78.182144,117.154747,83.93734
2022-03-17,434.028625,219.01442,341.920135,46.430035,105.736893,78.250664,118.303032,84.444344
2022-03-18,438.78241,221.572769,348.918579,46.828117,105.972153,78.475769,118.536591,84.629585
2022-03-21,438.654144,221.366135,347.948517,46.578159,104.933022,77.673203,116.892006,83.761856
2022-03-22,443.787018,224.081909,354.786652,47.006104,104.648743,77.477455,116.609802,83.527855
2022-03-23,438.071716,221.029953,349.687866,46.412815,105.08007,77.829788,116.940666,83.703346
2022-03-24,444.675385,224.178635,357.460266,46.782402,104.844803,77.731934,116.989319,83.527855
2022-03-25,446.847015,225.136078,357.16214,46.850487,104.011513,77.046806,116.06485,82.923363
2022-03-28,450.025421,226.596924,362.688232,46.704597,104.266411,77.271904,116.707108,83.128105
2022-03-29,455.592651,230.031845,368.930023,47.618847,104.756554,77.614479,117.68998,83.664337
2022-03-30,452.779419,228.166321,364.85498,47.443775,105.040855,77.790649,117.962448,83.869095
2022-03-31,445.810547,224.721527,360.332672,46.714321,104.991837,77.849373,117.68998,83.888603
2022-04-01,447.074005,225.619736,359.646912,47.122818,104.805313,77.680634,118.084923,83.743027
2022-04-04,450.903931,227.534607,367.051483,47.327065,104.893661,77.739487,118.494492,83.957977
2022-04-05,445.208435,224.208252,358.901459,46.762955,103.833344,76.954544,116.417351,82.912537
2022-04-06,440.756653,221.63205,351.109192,46.159935,103.568245,76.719048,115.734726,82.502159
2022-04-07,442.97757,222.471054,351.944092,46.208565,103.342453,76.562065,115.19838,82.316528
2022-04-08,441.793091,221.780121,347.0242,46.198841,102.822105,76.149963,114.291451,81.984329
2022-04-11,434.241821,218.315567,338.814514,45.712536,102.380295,75.796738,113.179741,81.437187
2022-04-12,432.632904,217.644379,337.383301,45.411026,102.704285,76.04203,113.257759,81.661903
2022-04-13,437.588074,220.496948,344.241272,45.945965,102.910461,76.130333,113.842873,81.955009
2022-04-14,432.139282,217.81218,336.369476,45.72226,102.075951,75.610306,112.516617,81.27108
2022-04-18,432.316956,217.437103,336.627899,45.527744,101.76178,75.365005,111.658455,80.860725
2022-04-19,439.295715,221.266861,344.151825,45.731987,101.143242,74.894035,110.771049,80.381973
2022-04-20,438.970001,220.980606,339.132568,46.072403,101.722504,75.365005,111.921761,80.792328
2022-04-21,432.405823,217.367996,332.11554,45.527744,101.162895,74.962723,110.73204,80.09864
2022-04-22,420.540955,211.445694,323.418793,44.691299,101.064713,74.864616,110.605255,80.069313
2022-04-25,422.979095,212.600555,327.573334,44.428696,101.742142,75.335564,111.833992,80.645767
2022-04-26,410.729279,206.54007,315.209106,43.22266,102.05632,75.531815,111.775482,80.743469
2022-04-27,411.884186,206.944778,314.831421,43.417179,101.643951,75.296326,110.702774,80.206093
2022-04-28,422.288116,211.988586,326.012939,44.098007,101.604691,75.266891,111.034348,80.303802
2022-04-29,406.68219,204.20076,311.342804,43.543621,100.995995,74.756691,109.805611,79.698036
2022-05-02,409.130188,205.74057,316.540955,43.397732,100.446198,74.37429,109.154678,79.34156
2022-05-03,411.005646,206.717728,316.878876,43.747871,100.672401,74.551231,109.858391,79.645142
2022-05-04,423.521973,212.778214,327.593231,44.496777,101.321533,75.032898,110.93351,80.311066
2022-05-05,408.468811,204.931183,311.09433,43.076771,100.318344,74.285812,109.232864,79.478676
2022-05-06,406.030701,203.282822,307.367126,42.687725,99.895432,73.971252,108.304352,79.028206
2022-05-09,393.030701,196.077332,295.34079,41.364979,100.387192,74.305473,108.685516,79.263237
2022-05-10,393.938843,196.472168,298.928833,41.569233,100.692085,74.521744,109.144905,79.488464
2022-05-11,387.680664,192.918793,290.063141,41.355255,101.065826,74.777313,109.653145,79.645142
2022-05-12,387.27594,193.126068,289.377319,41.199642,101.252686,74.924767,109.702019,79.792053
